Languages:5
Filename:       SPYOUWIL
Eng: "You will begin the mission on foot starting at this bridge.  Stealth is the order of the day, so try to find a way to disguise yourself before moving in and around the village - expect heavy enemy presence there."
Fre: "Vous commencerez la mission Ö pied au niveau de ce pont. La discrÇtion est Ö l'ordre du jour, alors trouvez-vous un camouflage avant d'approcher le village ; vous pouvez vous attendre Ö y trouver de nombreux ennemis." 
Ita: "Inizierete la missione a piedi partendo da questo ponte. Di nascosto, ä la prioritÖ assoluta; perciï trovate il modo di camuffarvi prima di entrare e girare nel paese; aspettatevi una pesante presenza nemica all'interno."
Spa: "Iniciar† la misi¢n a pie, partiendo de este puente. Pasar desapercibido es primordial, de modo que intente encontrar una manera de disfrazarse antes de entrar al pueblo y recorrer sus alrededores; la zona estar† repleta de enemigos. 
Ger: "Sie beginnen den Einsatz zu Fu· an dieser BrÅcke. UnauffÑlligkeit ist oberstes Gebot. Versuchen Sie also sich zu tarnen, bevor Sie sich im Dorf und in der Umgegend bewegen. Machen Sie sich dort auf eine starke PrÑsenz des Gegners gefa·t." 
Filename:       SPONCEY2
Eng: "Once you are in the village, you must find some form of entry to the airfield in the north. The airfield will be heavily guarded so an outright assault isn't feasible.  We know that delivery trucks make regular visits to the airfield, so if you can find one, make good use of it."
Fre: "Une fois dans le village, vous devez trouver le moyen d'arriver jusqu'au terrain d'aviation au nord. Il sera lourdement gardÇ, vous ne pouvez donc pas attaquer de front. Nous savons que des camions de livraison se rendent rÇguliärement au terrain, alors si vous pouvez en trouver un, faites-en bon usage."
Ita: "Una volta nel villaggio, dovete trovare un modo per entrare nel campo d'aviazione a nord. Il campo d'aviazione sarÖ pesantemente sorvegliato quindi non ä possibile effettuare un attacco diretto. Sappiamo che autocarri da trasporto vanno regolarmente al campo d'aviazione, per cui se riuscite a trovarne uno, approfittatene.
Spa: "Una vez en el pueblo, debe encontrar alguna manera de introducirse en el aer¢dromo situado al norte. El aer¢dromo estar† fuertemente custodiado, as° que un asalto directo es impensable. Sin embargo, sabemos que hay camiones de suministro que visitan regularmente el aer¢dromo, de modo que si logra encontrar uno, aprovÇchelo."
Ger: "Wenn Sie im Dorf sind, mÅssen Sie sich irgendwie Zutritt zum Flugplatz im Norden verschaffen. Der Flugplatz ist gut bewacht und ein direkter Angriff daher unmîglich. Wir wissen, da· der Flugplatz regelmÑ·ig von Lastwagen beliefert wird. Wenn Sie einen finden kînnen, nutzen Sie ihn gut."
Filename:       SPOURINT
Eng: "Our intelligence reports indicate that some of the roads in the area have been sealed off with landmines, so go carefully."
Fre: "Nos rapports de renseignements indiquent que certaines routes de la zone sont truffÇes de mines, alors soyez prudent."
Ita: "I nostri rapporti informativi indicano che alcune strade di quella zona sono state riempite di mine terrestri, quindi muovetevi con circospezione."
Spa: "Nuestros servicios secretos nos indican que algunas de las carreteras de la zona han sido cortadas con minas, as° que tenga cuidado.
Ger: "Unseren AufklÑrungsberichten zufolge wurden einige der Stra·en in der Umgegend durch Minen unpassierbar gemacht. Seien Sie vorsichtig."
Filename:       SPTHEREW
Eng: "There will be several guard posts on the way to the airfield - try to pass through these as calmly as possible.  Do not do anything to arouse suspicion."
Fre: "Plusieurs postes de garde sont dissÇminÇs jusqu'au terrain d'aviation ; essayez de passer sans faire trop de vagues. Ne faites rien qui pourrait Çveiller les soupáons."
Ita: "Dirigendosi verso il campo d'aviazione troverete parecchi posti di blocco; cercate di superarli mantenendo il sangue freddo. Non fate niente che possa destare sospetti."
Spa: "En el camino al aer¢dromo se encontrar† con varios puestos de guardia. Intente pasar lo m†s discretamente posible, no queremos levantar sospechas."
Ger: "Es gibt mehrere Wachtposten auf dem Weg zum Flugplatz. Versuchen Sie, diese mîglichst ruhig zu passieren. Unter keinen UmstÑnden dÅrfen Sie Verdacht erregen."
Filename:       SPONCEIN
Eng: "Once inside the airfield, find and retrieve the secret bomb documents and then make your way back to the mission start point as quickly as possible."
Fre: "Une fois sur le terrain d'aviation, trouvez et rÇcupÇrez les documents secrets sur la bombe. Retournez ensuite au point de dÇpart de la mission aussi vite que possible."
Ita: "Una volta nel campo d'aviazione, trovate e recuperate i documenti segreti della bomba e poi tornate immediatamente al punto di partenza della missione."
Spa: "Una vez dentro del aer¢dromo, localice los documentos relativos la bomba secreta y apodÇrese de ellos. DespuÇs, vuelva al punto de inicio de la misi¢n lo antes posible."
Ger: "Sobald Sie auf dem FlugplatzgelÑnde sind, suchen Sie die geheimen Bombendokumente, nehmen Sie sie an sich, und kehren Sie so schnell wie mîglich zum Startpunkt zurÅck."
Filename:       SGIMCONF
Eng: "I am confiscating this vodka - you have had more than enough!"
Fre: "Je confisque cette vodka ; vous en avez eu plus que votre dose !"
Ita: "Confisco questa vodka, ne avete giÖ scolata abbastanza!"
Spa: "Este vodka queda confiscado, ≠ya has bebido bastante!"
Ger: "Dieser Wodka wird konfisziert - du hast mehr als genug gehabt!"
Filename:       S7OHBUTP
Eng: "Oh, but please officer, I'm just doing my job!"
Fre: "Oh ! Mais, monsieur l'officier, je fais juste mon travail !"
Ita: "Ma, la prego Ufficiale, sto solo facendo il mio lavoro!"
Spa: "≠Pero oficial! ≠Estoy haciendo mi trabajo!"
Ger: "Aber, Herr Offizier, bitte, ich tu doch nur meine Arbeit!"
Filename:       SGDRIVEO
Eng: "Drive on now before I lose my temper with you, old fool!"
Fre: "Passez votre chemin avant que je perde patience, abruti !"
Ita: "Andatevene, prima che perda la calma, vecchio imbecille!"
Spa: "L†rgate antes de que pierda la paciencia, viejo imbÇcil"
Ger: "Fahr schon weiter, bevor ich die Geduld mit dir verliere, Alter!"
Filename:       S7MUMBLE
Eng: <mumbles incoherently>
Fre: <marmonne de faáon incohÇrente>
Ita: <borbottando parole incomprensibili>
Spa: <murmura incoherencias>
Ger: <murmelt unverstÑndliches Zeug>
Filename:       SGWATCHO
Eng: "Watch out, he is driving like crazy!"
Fre: "Attention ! Il est dangereux au volant."
Ita: "Attenzione, quello sta guidando come un pazzo!"
Spa: "≠Cuidado, conduce como un loco!"
